,ПРАЙС CASTROMIR ОБЩИЙ,,
,Дата: 20.04.2026,,
,Склад:,ОСНОВНОЙ СКЛАД,
№ п/п,Товар,оптовая заказ,Производитель
35,"Масло сливочное ""БУЛАЕВО"" 72,5% (вес)",4261.9,Казахстан
36,"Масло сливочное ""ГОРМОЛЗАВОД"" (вес)",5777,Казахстан
37,"Масло сливочное ""ЖАЙЛАУ"" 72,5% 0,18кг",348.8,Казахстан
38,"Масло сливочное ""ЗАКРОМА"" 82,5% 0,18кг",872,Казахстан
39,"Масло сливочное ""К ЧАЮ"" 0,23кг",381.5,Россия
,"Масло сливочное ""КРЕСТЬЯНСКОЕ"" 72,5%",,
40,,381.5,Казахстан
,"0,2кг",,
,"Масло сливочное ""СЛИВОЧНЫЕ БЕРЕГА""",,
41,,316.1,Казахстан
,"60% 0,18кг",,
,"Масло сливочное ""СЛИВОЧНЫЕ БЕРЕГА""",,
42,,654,Казахстан
,"60% 0,45кг",,
,"Масло сливочное ""СПРЕД",,
43,,1188.1,Казахстан
,"СЛАДКОСЛИВОЧНЫЙ"" 72,5% 0,4кг",,
,"Масло сливочное ""СПРЕД",,
44,,1308,Казахстан
,"СЛАДКОСЛИВОЧНЫЙ"" 82,5% 0,4кг",,
,"Масло сливочное"" СПРЕД СЛИВОЧНО",,
45,,1106.35,Казахстан
,"СОЛЕНОЕ""72,5% 0,4КГ",,
46,"Масло фритюрное ""MASTER"" 10лит",8556.5,Россия
47,"Масло фритюрное ""RESOK"" 10лит (9-9,5кг)",11990,Россия
48,"Масло фритюрное ""RESOK"" 7,5 лит (6,9 кг)",10028,Россия
,"Масло фритюрное ""ГУДФУД\МАЭСТРО""",,
49,,8512,Россия
,"10л (8,5-9кг)",,
50,"Маслофритюрное ""ГУДПРОДУКТ"" 10л",10046.4,Россия
51,"Оливковое масло ""EXTRA"" ж\б 5л",8176,Россия
52,"Оливковое масло ""PREMIUM OLIVE"" 5 л ж/б",9049.6,Италия
53,"Оливковое масло ""РОМА"" 5л",16486.4,Италия
54,"Топленое масло ""AnaBala"" 0,9кг",3225.6,Азейрбайджан
,МОЛОЧНЫЕ ПРОДУКТЫ,,
1,"Йогурт греческий ""FOODMASTER"" 0,3кг",738.3,Казахстан
,"Масло сливочное ""КРЕСТЬЯНСКОЕ"" 72,5%",,
2,,13203.8,Казахстан
,5кг,,
3,"Молоко ""AROY-D"" кокосовое 1л",3327.7,Таиланд
4,"Молоко ""AROY-D"" кокосовое ж/б 0,4л",1444.5,Таиланд
5,"Молоко ""GREEN MILK"" банановое 1л",1498,Россия
6,"Молоко ""GREEN MILK"" кокосовое 1 л",1498,Россия
7,"Молоко ""GREEN MILK"" миндальное 1л",1498,Россия
8,"Молоко ""GREEN MILK"" овсяное 1л",1294.7,Россия
9,"Молоко ""GREEN MILK"" соевое 1л",1294.7,Россия
10,"Молоко ""KALLEH"" 3% 1л",781.1,Иран
11,"Молоко ""LACTEL"" 2.5% 1л",695.5,Казахстан
12,"Молоко ""LACTEL"" 3,2% 1л",845.3,Казахстан
13,"Молоко ""MIDORI"" кокосовое ж/б 18% 0,4кг",1166.3,Россия
14,"Молоко ""АЯ"" 2,5% 0,9л",460.1,Казахстан
15,"Молоко ""АЯ"" 3,2% 0,9л",524.3,Казахстан
16,"Молоко ""АЯ"" 6% 0,9л",577.8,Казахстан
17,"Молоко ""Милко Во"" 2,5% 0.9л",438.7,Казахстан
18,"Молоко ""Милко Во"" 3,2% 0.9л",444.05,Казахстан
19,"Молоко ""НОВЫЙ ДЕНЬ"" 2,5% 1л",695.5,Казахстан
20,"Молоко ""НОВЫЙ ДЕНЬ"" 3,2% 1л",749,Казахстан
21,"Молоко ""НОВЫЙ ДЕНЬ"" 6% 1л",866.7,Казахстан
