Отчет IMPRO v.1.0 build-727         << S_MARKET >>;;;
ПРАЙС ИМПРО ОБЩИЙ;;;
Дата: 05.05.2026;;;
Склад:   ОСНОВНОЙ СКЛАД;;;
Дни:   ;;;
Реквизиты идополнительные данные;;;
Торговая точка:   Gastro Mir;;;
;;;
№ п/п;Товар;;Производитель
55;Пшено вес.;1 386,00;Россия
56;Пшено фасовка 5кг;1 452,00;Россия
57;РИС БАСМАТИ 25КГ;29 865,00;Индия
58;"Рис ""БАНЗАЙ"" 25 кг";21 175,00;Корея
59;"Рис ""БАНЗАЙ"" фасовка 5кг";3 740,00;Корея
60;"Рис ""БАСМАТИ"" 5кг";6 963,00;Турция
61;"Рис ""БЕРЕКЕ"" 5 кг";2 585,00;Казахстан
62;"Рис ""КАМОЛИНО"" 25кг.";10 780,00;Казахстан
63;"Рис ""КАМОЛИНО"" 4.5кг (банка)";2 420,00;Казахстан
64;"Рис ""ЛАЗЕР"" 25кг";33 275,00;Узбекистан 
65;"Рис ""ЛАЗЕР"" 30кг";30 855,00;Узбекистан 
66;"Рис ""ЛАЗЕР"" фасовка 5кг";5 148,00;Узбекистан 
67;"Рис ""ЛИДЕР"" 25кг";8 250,00;Казахстан
68;"Рис ""ШИНАКИ"" 25кг.";21 780,00;Корея
69;"Рис ""ШИНАКИ"" фасовка 5кг";4 290,00;
70;"Рис ""ЯПОША"" 25кг";13 915,00;Россия
71;Рис Арборио 1кг;4 686,00;Италия
72;Рис Баракат/Айдана/Мерей 5кг.;2 310,00;Казахстан
73;Рис Камолино фасованный 5кг;2 486,00;Казахстан
74;Рис басмати  фасовка 5 кг;6 930,00;Индия
75;"Рис басмати ""УВЕЛКА"" 0,5кг";1 650,00;Россия
76;"Рис бурый ""УВЕЛКА"" 0,5кг";770,00;Россия
77;"Рис дикий ""УВЕЛКА"" 0,35кг";4 950,00;Россия
78;"Рис дикий черный ""GALLO"" 0.5кг";3 487,00;Италия
79;"Рис жасмин ""УВЕЛКА"" 0,5кг";1 562,00;Россия
80;Фасоль белая (вес);1 633,50;Россия
81;Фасоль белая фасовка 5кг;6 897,00;Россия
82;"Фасоль красная ""ВИП"" 0,7кг ";1 298,00;Россия
83;Фасоль красная (вес);1 210,00;Россия
84;Фасоль красная 25кг;27 500,00;Россия
85;Фасоль красная фасовка 5кг;3 938,00;Россия
86;"Чечевица ""ВИП"" 0,7кг";671,00;Россия
87;Чечевица 25кг;11 979,00;Россия
88;Чечевица фасовка 5кг;2 486,00;Россия
89;"Ячневая крупа ""АЛТАЙСКАЯ СКАЗКА"" 0,8кг";302,50;Казахстан
90;"Ячневая крупа ""ВИП"" 0,6кг";308,00;Россия
91;Ячневая крупа (вес);170,50;Россия
92;Ячневая крупа фасовка 5кг;1 155,00;Россия
;  МАСЛА И ЖИРЫ;;
1;"Жир фритюрный ""Вегафрай"" 5л ";5 335,00;Россия
2;"Жир фритюрный ""Вегафрай"" 7,5лит (6,9-7кг)";7 700,00;Россия
3;"Маргарин ""203"" для слоеного теста 80% 10 кг";12 100,00;Казахстан
4;"Маргарин ""271"" для слоеного теста 70% 10кг";11 011,00;Казахстан
5;"Маргарин ""ГУДПРОДУКТ"" 1кг";1 052,70;Россия
6;"Маргарин ""МАРГО"" для песочного теста 20кг";31 900,00;Россия
7;"Маргарин ""ЩЕДРОЕ ЛЕТО"" 72% 0,5кг";1 925,00;Казахстан
8;"Маргарин ""ЩЕДРОЕ ЛЕТО"" 72% 1кг";1 996,50;Казахстан
9;"Маргарин ""ЭКОСЛАЙС"" для слоеного теста 82% 10кг";14 520,00;Россия
10;"Маргарин ""ЭКОУНИВЕРСАЛ"" 20кг";26 620,00;Россия
11;"Маргарин 3 ЖЕЛАНИЯ ""Пампушка"" 0,18кг";198,00;Россия
12;Маргарин для слоен.теста 570%5*2 эколин вес 10кг ( Марго);15 125,00;Россия
13;"Масло ""КРЕСТЬЯНСКОЕ"" сливочно-растит. спред 72,5% 1кг";1 694,00;Казахстан
14;"Масло кунжутное ""ЖУ СИН/ЮНН"" 0,48л (стекло)";1 705,00;Китай
15;"Масло оливковое ""BLACK"" 5л ж/б";9 350,00;Италия
16;"Масло оливковое ""CONOLIO"" 5л";14 850,00;Италия
17;"Масло оливковое ""CONOLIO""1л";3 410,00;Италия
18;"Масло оливковое ""ITALI OLIV"" 5л ж/б";9 020,00;Италия
19;"Масло оливковое ""OLIV OIL""  5л (пластик)";8 360,00;Испания
20;"Масло оливковое ""OLIV OIL"" 0,25л";891,00;Испания
21;"Масло оливковое ""OLIV OIL"" 5л ж/б";8 470,00;Испания
22;"Масло оливковое ""OLIVETTA"" 5л (пластик)";15 730,00;Испания
23;"Масло оливковое ""ROMA"" 1л (стекло)";3 509,00;Испания
24;"Масло оливковое ""VKUSNEL"" 0,5л";1 650,00;Испания
25;"Масло оливковое ""VKUSNEL"" 5л";9 020,00;Испания
26;Масло оливковое Oliv Oil 1 литр;2 530,00;Испания
27;"Масло оливковое ж\б ""LA MASSERIA"" 5л";34 100,00;Италия
28;"Масло оливковое экстра ""LA MASSERIA"" 1л";7 502,00;Италия
29;"Масло оливковое экстра ""OLIV OIL"" 5л ж/б";9 020,00;Испания
30;"Масло подсолнечное ""ЖЕЛТЫЙ ДОМИК"" 5л (4,5кг)";4 180,00;Россия
31;"Масло подсолнечное ""МАСЛОЗАВОД №1"" 5л";5 027,00;Казахстан
32;Масло подсолнечное в ассортименте 5л (деш) ;3 971,00;Россия
33;"Масло сливочное ""PRESIDRENT"" не соленое 1кг";10 769,00;Казахстан
34;"Масло сливочное ""АЯЛА ПЛЮС"" особое 0,833кг";1 969,00;Казахстан
35;"Масло сливочное ""БУЛАЕВО"" 72,5% (вес)";4 114,00;Казахстан
36;"Масло сливочное ""ГОРМОЛЗАВОД"" (вес)";5 566,00;Казахстан
37;"Масло сливочное ""ЖАЙЛАУ"" 72,5% 0,18кг";330,00;Казахстан
38;"Масло сливочное ""ЗАКРОМА"" 82,5% 0,18кг";847,00;Казахстан
39;"Масло сливочное ""К ЧАЮ"" 0,23кг";352,00;Россия
40;"Масло сливочное ""КРЕСТЬЯНСКОЕ""  72,5%  0,2кг";330,00;Казахстан
41;"Масло сливочное ""СЛИВОЧНЫЕ БЕРЕГА"" 60% 0,18кг";272,80;Казахстан
42;"Масло сливочное ""СЛИВОЧНЫЕ БЕРЕГА"" 60% 0,45кг";627,00;Казахстан
43;"Масло сливочное ""СПРЕД СЛАДКОСЛИВОЧНЫЙ"" 72,5% 0,4кг";1 144,00;Казахстан
44;"Масло сливочное ""СПРЕД СЛАДКОСЛИВОЧНЫЙ"" 82,5% 0,4кг";1 265,00;Казахстан
45;"Масло сливочное"" СПРЕД СЛИВОЧНО СОЛЕНОЕ""72,5% 0,4КГ";1 067,00;Казахстан
46;"Масло фритюрное ""MASTER"" 10лит ";8 250,00;Россия
47;"Масло фритюрное ""RESOK"" 10лит (9-9,5кг)";11 253,00;Россия
48;"Масло фритюрное ""RESOK"" 7,5 лит (6,9 кг)";9 680,00;Россия
49;"Масло фритюрное ""ГУДФУД\МАЭСТРО"" 10л (8,5-9кг)";8 500,00;Россия
50;"Маслофритюрное ""ГУДПРОДУКТ"" 10л ";9 438,00;Россия
51;"Оливковое масло ""EXTRA"" ж\б 5л";7 700,00;Россия
52;"Оливковое масло ""PREMIUM OLIVE"" 5 л ж/б";8 503,00;Италия
53;"Оливковое масло ""РОМА"" 5л";15 367,00;Италия
54;"Топленое масло ""AnaBala"" 0,9кг";3 025,00;Азейрбайджан 
;  МОЛОЧНЫЕ ПРОДУКТЫ;;
1;"Йогурт греческий ""FOODMASTER"" 0,3кг";726,00;Казахстан
2;"Масло сливочное ""КРЕСТЬЯНСКОЕ"" 72,5% 5кг";12 980,00;Казахстан
3;"Молоко ""AROY-D"" кокосовое 1л";2 970,00;Таиланд
4;"Молоко ""AROY-D"" кокосовое ж/б 0,4л";1 276,00;Таиланд
5;"Молоко ""GREEN MILK"" банановое 1л";1 320,00;Россия
6;"Молоко ""GREEN MILK"" кокосовое 1 л";1 210,00;Россия
7;"Молоко ""GREEN MILK"" миндальное 1л ";1 210,00;Россия
