Отчет IMPRO v.1.0 build-727         << S_MARKET >>;;;
ПРАЙС ИМПРО ОБЩИЙ;;;
Дата: 05.05.2026;;;
Склад:   ОСНОВНОЙ СКЛАД;;;
Дни:   ;;;
Реквизиты идополнительные данные;;;
Торговая точка:   Gastro Mir;;;
;;;
№ п/п;Товар;;Производитель
33;Ягоды Клюква садовая с/м 1кг;2 750,00;Россия
34;Ягоды Малина с/м 1кг;4 235,00;Россия
35;Ягоды Облепиха садовая с/м 1кг;1 536,70;Россия
36;Ягоды Смородина с/м 1кг;3 751,00;Россия
37;Ягоды Черника с/м;4 840,00;Россия
;Орехи;;
1;Арахис жареный;2 000,00;
2;Фисташки;7 000,00;
3;Грецкий орех;5 000,00;
;;;
